Datastream,Start,Stop
SA1,2023-01-12T21:12:43,2023-01-12T21:12:49
SA1,2023-01-12T21:22:16,2023-01-12T21:22:23
SA1,2023-01-12T21:22:27,2023-01-12T21:22:31
SA1,2023-01-12T21:22:41,2023-01-12T21:22:43
SA1,2023-01-12T21:28:54,2023-01-12T21:28:57
SA1,2023-01-12T21:29:11,2023-01-12T21:29:15
SA1,2023-01-12T21:30:03,2023-01-12T21:30:08
SA1,2023-01-12T21:31:56,2023-01-12T21:31:59
SA1,2023-01-12T21:47:06,2023-01-12T21:47:10
SA1,2023-01-12T21:47:27,2023-01-12T21:47:31
SA1,2023-01-12T21:47:41,2023-01-12T21:47:44
SA1,2023-01-12T21:48:14,2023-01-12T21:48:17
SA1,2023-01-12T21:49:52,2023-01-12T21:49:57
SA1,2023-01-12T21:50:54,2023-01-12T21:50:56
SA1,2023-01-12T21:54:27,2023-01-12T21:54:31
